,Links,Title,Meta-data(DESC),Internal,External,unigram,bi-gram,web-page size
0,https://www.udacity.com/course/ux-designer-nanodegree--nd578,Online User Experience (UX) Design Course,Learn to design user experiences for products in todayâs digital world. Start building your UX portfolio today. Learn online with Udacity.,yes,no,"['Â', 'design', 'UX', 'program', 'user', 'digital', 'research', 'products', 'Nanodegree', 'need', 'Udacity', 'I', 'learning', 'career', 'feedback', 'learn', 'Designer', 'projects', 'Youâll']","[('Â', 'Â'), ('user', 'experiences'), ('Nanodegree', 'program'), ('webbased', 'platforms'), ('user', 'research'), ('You', 'need'), ('This', 'program'), ('user', 'interface'), ('digital', 'interfaces'), ('platforms', 'digital'), ('digital', 'world'), ('UX', 'Design'), ('Udacity', 'Inc'), ('2011â2020', 'Udacity'), ('Â', '2011â2020'), ('Data', 'Science'), ('Engineer', 'Microsoft'), ('FAQs', 'policies'), ('Use', 'FAQs')]",N/A
1,https://www.udacity.com/school-of-ai,Artificial Intelligence (AI) Online Courses,"Artificial Intelligence (AI) is one of the fastest-growing technologies of our time, with 2.3 million new jobs opening up by 2020. Learn online, with Udacity.",yes,no,"['Learning', 'Â', 'Machine', 'Deep', 'design', 'UX', 'learning', 'program', 'user', 'MoreÂ', 'Covered', 'AI', 'Nanodegree', 'New', 'career', 'Neural', 'Udacity', 'digital', 'Unsupervised']","[('Â', 'Â'), ('Machine', 'Learning'), ('Deep', 'Learning'), ('MoreÂ', 'Â'), ('Â', 'New'), ('Learning', 'Unsupervised'), ('Supervised', 'Learning'), ('Neural', 'Networks'), ('Learning', 'Deep'), ('Learning', 'Supervised'), ('Learning', 'Engineer'), ('Learning', 'Neural'), ('Pandas', 'Matplotlib'), ('NumPy', 'Pandas'), ('LearningLearn', 'MoreÂ'), ('user', 'experiences'), ('CoveredMachine', 'Learning'), ('CoveredPython', 'NumPy'), ('Programming', 'PythonStep')]",N/A
2,https://www.udacity.com/course/data-visualization-nanodegree--nd197,Data Visualization Online Course,"Learn to combine data, visuals, and narrative to tell impactful stories and make data-driven decisions. Learn online with Udacity.",yes,no,"['Â', 'Learning', 'data', 'program', 'Machine', 'Data', 'Deep', 'design', 'learning', 'Nanodegree', 'skills', 'Udacity', 'career', 'UX', 'I', 'user', 'MoreÂ', 'Covered', 'AI']","[('Â', 'Â'), ('Deep', 'Learning'), ('MoreÂ', 'Â'), ('Â', 'New'), ('Learning', 'Unsupervised'), ('Supervised', 'Learning'), ('Neural', 'Networks'), ('Learning', 'Deep'), ('Learning', 'Supervised'), ('Learning', 'Neural'), ('Pandas', 'Matplotlib'), ('NumPy', 'Pandas'), ('LearningLearn', 'MoreÂ'), ('user', 'experiences'), ('data', 'visualization'), ('data', 'visualizations'), ('datadriven', 'recommendations'), ('CoveredMachine', 'Learning'), ('CoveredPython', 'NumPy')]",N/A
3,https://www.udacity.com/scholarships,Scholarships | Udacity,Udacity provides lifelong learning for millions to acquire new skills they need for the jobs they want. Udacity scholarships make this opportunity more available for learners all around the globe.,yes,no,"['Â', 'Learning', 'Data', 'data', 'Machine', 'program', 'Deep', 'Product', 'Udacity', 'design', 'Nanodegree', 'learning', 'Science', 'skills', 'Engineer', 'Web', 'career', 'AI', 'Business']","[('Â', 'Â'), ('Deep', 'Learning'), ('MoreÂ', 'Â'), ('Â', 'New'), ('Learning', 'Unsupervised'), ('Supervised', 'Learning'), ('Neural', 'Networks'), ('Data', 'Science'), ('Learning', 'Deep'), ('Learning', 'Supervised'), ('Learning', 'Neural'), ('Pandas', 'Matplotlib'), ('NumPy', 'Pandas'), ('LearningLearn', 'MoreÂ'), ('Machine', 'Learning'), ('user', 'experiences'), ('DeveloperCloud', 'DevOps'), ('data', 'visualization'), ('data', 'visualizations')]",N/A
4,https://www.instagram.com/udacity/,"
Udacity (@udacity) • Instagram photos and videos
","70.2k Followers, 967 Following, 284 Posts - See Instagram photos and videos from Udacity (@udacity)",no,yes,"['Â', 'Learning', 'Data', 'data', 'Machine', 'program', 'Deep', 'Product', 'Udacity', 'design', 'Nanodegree', 'learning', 'Science', 'skills', 'Engineer', 'Web', 'career', 'AI', 'Business']","[('Â', 'Â'), ('Deep', 'Learning'), ('MoreÂ', 'Â'), ('Â', 'New'), ('Learning', 'Unsupervised'), ('Supervised', 'Learning'), ('Neural', 'Networks'), ('Data', 'Science'), ('Learning', 'Deep'), ('Learning', 'Supervised'), ('Learning', 'Neural'), ('Pandas', 'Matplotlib'), ('NumPy', 'Pandas'), ('LearningLearn', 'MoreÂ'), ('Machine', 'Learning'), ('user', 'experiences'), ('DeveloperCloud', 'DevOps'), ('data', 'visualization'), ('data', 'visualizations')]",101.16796875
5,https://www.udacity.com/course/ai-for-healthcare-nanodegree--nd320,Learn to Utilize AI in Healthcare,"In this online course, you'll learn the basics of utilizing AI within the healthcare field. Learn online with Udacity.",yes,no,"['Â', 'Learning', 'program', 'data', 'Data', 'Machine', 'AI', 'Nanodegree', 'learning', 'Udacity', 'Product', 'Deep', 'Science', 'I', 'skills', 'Engineer', 'career', 'design', 'industry']","[('Â', 'Â'), ('MoreÂ', 'Â'), ('Â', 'New'), ('Learning', 'Unsupervised'), ('Supervised', 'Learning'), ('Neural', 'Networks'), ('Machine', 'Learning'), ('Nanodegree', 'program'), ('machine', 'learning'), ('Learning', 'Deep'), ('Learning', 'Supervised'), ('medical', 'imaging'), ('Data', 'Scientist'), ('Learning', 'Neural'), ('patient', 'outcomes'), ('AI', 'Healthcare'), ('Pandas', 'Matplotlib'), ('NumPy', 'Pandas'), ('LearningLearn', 'MoreÂ')]",N/A
6,https://www.udacity.com/course/aws-cloud-architect-nanodegree--nd063,AWS Cloud Architect Online Course,"In this online course, you'll learn everything you need to know in order to become a certified AWS Cloud Architect. Learn online with Udacity.",yes,no,"['Â', 'Learning', 'program', 'Nanodegree', 'data', 'Data', 'Cloud', 'Machine', 'learning', 'AI', 'Udacity', 'I', 'Product', 'Engineer', 'design', 'Science', 'career', 'Deep', 'cloud']","[('Â', 'Â'), ('MoreÂ', 'Â'), ('Cloud', 'Architect'), ('Â', 'New'), ('Learning', 'Unsupervised'), ('Supervised', 'Learning'), ('Neural', 'Networks'), ('Nanodegree', 'program'), ('machine', 'learning'), ('AWS', 'Cloud'), ('Learning', 'Deep'), ('Learning', 'Supervised'), ('cloud', 'computing'), ('medical', 'imaging'), ('Data', 'Scientist'), ('Learning', 'Neural'), ('Solutions', 'Architect'), ('high', 'availability'), ('patient', 'outcomes')]",N/A
7,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming Online Course,"Your first step towards careers in Web and App Development, Machine Learning, and more! Beginners - learn to code online, with Udacity.",yes,no,"['Â', 'Learning', 'program', 'Nanodegree', 'Data', 'Cloud', 'data', 'Machine', 'learning', 'Udacity', 'I', 'AI', 'Product', 'career', 'Science', 'Engineer', 'Web', 'design', 'skills']","[('Â', 'Â'), ('MoreÂ', 'Â'), ('Cloud', 'Architect'), ('Â', 'New'), ('Learning', 'Unsupervised'), ('Supervised', 'Learning'), ('Neural', 'Networks'), ('machine', 'learning'), ('AWS', 'Cloud'), ('Nanodegree', 'program'), ('Learning', 'Deep'), ('Learning', 'Supervised'), ('Programming', 'Nanodegree'), ('Intro', 'Programming'), ('cloud', 'computing'), ('medical', 'imaging'), ('Data', 'Scientist'), ('Learning', 'Neural'), ('Solutions', 'Architect')]",N/A
8,https://www.udacity.com/school-of-autonomous-systems,Autonomous Systems Online Courses & Programs,"The field of autonomous vehicles is set to grow by 42% within the next four years. Advance your career by studying 15 hours/week. Learn online, with Udacity.",yes,no,"['Â', 'Learning', 'program', 'Nanodegree', 'Machine', 'Data', 'Cloud', 'learning', 'data', 'Udacity', 'I', 'AI', 'career', 'Engineer', 'Product', 'Science', 'Web', 'skills', 'Deep']","[('Â', 'Â'), ('Cloud', 'Architect'), ('Neural', 'Networks'), ('machine', 'learning'), ('AWS', 'Cloud'), ('Nanodegree', 'program'), ('Machine', 'Learning'), ('CoveredComputer', 'Vision'), ('Programming', 'Nanodegree'), ('Intro', 'Programming'), ('cloud', 'computing'), ('medical', 'imaging'), ('Data', 'Scientist'), ('Learning', 'Neural'), ('MoreÂ', 'Â'), ('Oriented', 'Programming'), ('Object', 'Oriented'), ('Concurrency', 'Object'), ('Management', 'Concurrency')]",N/A
9,https://www.udacity.com/course/data-analyst-nanodegree--nd002,Online Data Analyst Course,"Learn to become a data analyst by using Python, SQL, and statistics to uncover insights, and create data-driven solutions, Learn online with Udacity.",yes,no,"['Â', 'Learning', 'program', 'Nanodegree', 'data', 'Data', 'learning', 'Machine', 'Cloud', 'Udacity', 'I', 'career', 'AI', 'Product', 'Science', 'Engineer', 'skills', 'Web', 'projects']","[('Â', 'Â'), ('Cloud', 'Architect'), ('Neural', 'Networks'), ('Data', 'Analyst'), ('AWS', 'Cloud'), ('Nanodegree', 'program'), ('data', 'analysis'), ('CoveredComputer', 'Vision'), ('Programming', 'Nanodegree'), ('Intro', 'Programming'), ('cloud', 'computing'), ('medical', 'imaging'), ('Learning', 'Neural'), ('MoreÂ', 'Â'), ('Oriented', 'Programming'), ('Object', 'Oriented'), ('Concurrency', 'Object'), ('Management', 'Concurrency'), ('Memory', 'Management')]",N/A
10,https://www.udacity.com/course/intel-edge-ai-for-iot-developers-nanodegree--nd131,Edge AI for IoT Developers,"This online program will teach you to leverage edge computing & use the IntelÂ® Distribution of OpenVINO to develop of high-performance apps. Learn online, with Udacity.",yes,no,"['Â', 'Learning', 'program', 'Nanodegree', 'data', 'learning', 'Data', 'AI', 'Machine', 'Udacity', 'I', 'Cloud', 'career', 'Engineer', 'Product', 'Science', 'skills', 'Deep', 'IntelÂ']","[('Â', 'Â'), ('deep', 'learning'), ('Edge', 'AI'), ('Distribution', 'OpenVINOâ'), ('IntelÂ', 'Distribution'), ('computer', 'vision'), ('Cloud', 'Architect'), ('OpenVINOâ', 'Toolkit'), ('Deep', 'Learning'), ('Neural', 'Networks'), ('Data', 'Analyst'), ('AWS', 'Cloud'), ('AI', 'IoT'), ('Nanodegree', 'program'), ('DevCloud', 'Edge'), ('data', 'analysis'), ('IntelÂ', 'DevCloud'), ('Machine', 'Learning'), ('learning', 'models')]",N/A
11,https://www.udacity.com/course/deep-learning-nanodegree--nd101,Deep Learning Online Course," Learn to build and apply your own deep neural networks to challenges like image classification, prediction, and model deployment. Learn online with Udacity.",yes,no,"['Â', 'Learning', 'program', 'Nanodegree', 'learning', 'data', 'Data', 'AI', 'I', 'Udacity', 'Machine', 'Cloud', 'career', 'Engineer', 'Science', 'Product', 'Deep', 'skills', 'projects']","[('Â', 'Â'), ('Distribution', 'OpenVINOâ'), ('IntelÂ', 'Distribution'), ('Cloud', 'Architect'), ('OpenVINOâ', 'Toolkit'), ('Neural', 'Networks'), ('Data', 'Analyst'), ('AWS', 'Cloud'), ('deep', 'learning'), ('Nanodegree', 'program'), ('DevCloud', 'Edge'), ('data', 'analysis'), ('IntelÂ', 'DevCloud'), ('learning', 'inference'), ('CoveredComputer', 'Vision'), ('Intro', 'Programming'), ('Learning', 'Neural'), ('MoreÂ', 'Â'), ('model', 'performance')]",N/A
12,https://www.udacity.com/course/rpa-developer-nanodegree--nd340,Become an RPA Developer,"Enroll now to learn how to automate critical business processes to drive digital transformation for your organization.  Learn online, with Udacity.",yes,no,"['Â', 'Learning', 'program', 'Nanodegree', 'learning', 'data', 'Data', 'I', 'Udacity', 'AI', 'Machine', 'Cloud', 'career', 'projects', 'Engineer', 'skills', 'Science', 'Product', 'Deep']","[('Â', 'Â'), ('Distribution', 'OpenVINOâ'), ('IntelÂ', 'Distribution'), ('Cloud', 'Architect'), ('OpenVINOâ', 'Toolkit'), ('Neural', 'Networks'), ('RPA', 'Developer'), ('Data', 'Analyst'), ('AWS', 'Cloud'), ('deep', 'learning'), ('Nanodegree', 'program'), ('DevCloud', 'Edge'), ('Developer', 'Nanodegree'), ('data', 'analysis'), ('IntelÂ', 'DevCloud'), ('learning', 'inference'), ('CoveredComputer', 'Vision'), ('Learning', 'Neural'), ('MoreÂ', 'Â')]",N/A
13,https://www.udacity.com/course/data-streaming-nanodegree--nd029,Learn Data Streaming Online,"Learn the skills to take you into the next era of data engineering. Build real-time applications to process big data at scale, with Udacity.",yes,no,"['Â', 'program', 'Learning', 'Nanodegree', 'data', 'learning', 'Data', 'I', 'Udacity', 'AI', 'Machine', 'career', 'Cloud', 'Engineer', 'projects', 'Science', 'skills', 'Product', 'industry']","[('Â', 'Â'), ('Distribution', 'OpenVINOâ'), ('IntelÂ', 'Distribution'), ('Nanodegree', 'program'), ('Cloud', 'Architect'), ('OpenVINOâ', 'Toolkit'), ('Neural', 'Networks'), ('RPA', 'Developer'), ('Data', 'Analyst'), ('AWS', 'Cloud'), ('deep', 'learning'), ('DevCloud', 'Edge'), ('Streaming', 'Nanodegree'), ('Developer', 'Nanodegree'), ('data', 'analysis'), ('IntelÂ', 'DevCloud'), ('Data', 'Science'), ('Data', 'Engineer'), ('data', 'realtime')]",N/A
14,https://www.udacity.com/course/ai-product-manager-nanodegree--nd088,Become an AI Product Manager,"Learn to develop AI products that deliver business value. Build skills that help you compete in the new AI-powered world. Learn online, with Udacity.",yes,no,"['Â', 'program', 'Learning', 'Nanodegree', 'data', 'learning', 'Data', 'AI', 'I', 'Udacity', 'Machine', 'career', 'Cloud', 'projects', 'Engineer', 'Product', 'Science', 'skills', 'industry']","[('Â', 'Â'), ('Distribution', 'OpenVINOâ'), ('IntelÂ', 'Distribution'), ('Cloud', 'Architect'), ('OpenVINOâ', 'Toolkit'), ('Neural', 'Networks'), ('RPA', 'Developer'), ('Data', 'Analyst'), ('AWS', 'Cloud'), ('deep', 'learning'), ('DevCloud', 'Edge'), ('Streaming', 'Nanodegree'), ('Developer', 'Nanodegree'), ('data', 'analysis'), ('IntelÂ', 'DevCloud'), ('machine', 'learning'), ('Data', 'Engineer'), ('data', 'realtime'), ('Data', 'Streaming')]",N/A
15,https://www.udacity.com/course/data-structures-and-algorithms-nanodegree--nd256,Learn Data Structures and Algorithms,"In this course, you will learn to evaluate data structures and algorithms for any open-ended problem and implement a solution. Learn online with Udacity.",yes,no,"['Â', 'program', 'Learning', 'Nanodegree', 'data', 'learning', 'Data', 'AI', 'I', 'Udacity', 'career', 'Machine', 'Cloud', 'projects', 'Engineer', 'Product', 'skills', 'Science', 'industry']","[('Â', 'Â'), ('data', 'structures'), ('Distribution', 'OpenVINOâ'), ('IntelÂ', 'Distribution'), ('Cloud', 'Architect'), ('OpenVINOâ', 'Toolkit'), ('Neural', 'Networks'), ('RPA', 'Developer'), ('AWS', 'Cloud'), ('deep', 'learning'), ('DevCloud', 'Edge'), ('Nanodegree', 'program'), ('structures', 'algorithms'), ('Streaming', 'Nanodegree'), ('Structures', 'Algorithms'), ('Developer', 'Nanodegree'), ('data', 'analysis'), ('IntelÂ', 'DevCloud'), ('data', 'realtime')]",N/A
16,https://www.udacity.com/georgia-tech,Georgia Tech Computer Science Degrees | Udacity,Discover more about Udacity's partnership with Georgia Tech that lets you earn a Master's Degree in Computer Science online.,yes,no,"['Â', 'program', 'Learning', 'Nanodegree', 'data', 'learning', 'Data', 'AI', 'Udacity', 'I', 'Machine', 'Cloud', 'career', 'Product', 'Science', 'Engineer', 'projects', 'skills', 'Web']","[('Â', 'Â'), ('data', 'structures'), ('Distribution', 'OpenVINOâ'), ('IntelÂ', 'Distribution'), ('Cloud', 'Architect'), ('OpenVINOâ', 'Toolkit'), ('Neural', 'Networks'), ('Data', 'Science'), ('RPA', 'Developer'), ('AWS', 'Cloud'), ('deep', 'learning'), ('DevCloud', 'Edge'), ('Machine', 'Learning'), ('Nanodegree', 'program'), ('structures', 'algorithms'), ('Streaming', 'Nanodegree'), ('Structures', 'Algorithms'), ('Developer', 'Nanodegree'), ('data', 'analysis')]",N/A
17,https://www.udacity.com/success,Student Success Stories | Udacity,"Udacity Students find success every day - they get jobs at Google, Facebook, & Nest, start a business, or get promoted! Join us to start your success story.",yes,no,"['Â', 'I', 'Udacity', 'program', 'Nanodegree', 'Learning', 'learning', 'data', 'Data', 'career', 'AI', 'skills', 'helped', 'job', 'Machine', 'Engineer', 'Cloud', 'projects', 'Science']","[('Udacity', 'helped'), ('Nanodegree', 'program'), ('Â', 'Â'), ('new', 'job'), ('I', 'able'), ('Udacity', 'I'), ('program', 'I'), ('helped', 'get'), ('I', 'got'), ('Android', 'Developer'), ('data', 'structures'), ('Distribution', 'OpenVINOâ'), ('IntelÂ', 'Distribution'), ('I', 'learned'), ('helped', 'learn'), ('I', 'needed'), ('skills', 'I'), ('Android', 'developer'), ('Cloud', 'Architect')]",N/A
18,https://www.udacity.com/,Learn the Latest Tech Skills; Advance Your Career | Udacity,"Advance your career with online courses in programming, data science, artificial intelligence, digital marketing, and more. Built with industry leaders.",yes,no,"['Â', 'I', 'Udacity', 'program', 'Nanodegree', 'Learning', 'learning', 'Data', 'data', 'career', 'AI', 'skills', 'helped', 'job', 'Machine', 'Engineer', 'Cloud', 'Science', 'projects']","[('Udacity', 'helped'), ('Nanodegree', 'program'), ('Â', 'Â'), ('new', 'job'), ('Udacity', 'I'), ('program', 'I'), ('helped', 'get'), ('I', 'got'), ('Android', 'Developer'), ('data', 'structures'), ('Distribution', 'OpenVINOâ'), ('IntelÂ', 'Distribution'), ('I', 'learned'), ('helped', 'learn'), ('I', 'needed'), ('skills', 'I'), ('Android', 'developer'), ('Cloud', 'Architect'), ('OpenVINOâ', 'Toolkit')]",N/A
19,https://www.udacity.com/course/c-plus-plus-nanodegree--nd213,Learn C++ Online,"Learn C++, a high-performance programming language used in the world's most exciting engineering jobs. Learn online, with Udacity.",yes,no,"['Â', 'I', 'Udacity', 'program', 'Nanodegree', 'Learning', 'learning', 'Data', 'data', 'career', 'AI', 'skills', 'helped', 'Machine', 'job', 'Engineer', 'projects', 'Science', 'Cloud']","[('Udacity', 'helped'), ('Â', 'Â'), ('new', 'job'), ('Udacity', 'I'), ('helped', 'get'), ('I', 'got'), ('Android', 'Developer'), ('data', 'structures'), ('Distribution', 'OpenVINOâ'), ('IntelÂ', 'Distribution'), ('I', 'learned'), ('Nanodegree', 'program'), ('helped', 'learn'), ('I', 'needed'), ('skills', 'I'), ('Android', 'developer'), ('Cloud', 'Architect'), ('OpenVINOâ', 'Toolkit'), ('Android', 'development')]",N/A
20,https://www.udacity.com/course/product-manager-nanodegree--nd036,Online Product Manager Training,"This online program will teach you the foundations of product management, and ready you to start your career as a product manager. Learn online, with Udacity.",yes,no,"['Â', 'I', 'Udacity', 'program', 'Nanodegree', 'Learning', 'learning', 'Data', 'data', 'career', 'AI', 'skills', 'Product', 'helped', 'Machine', 'job', 'projects', 'Engineer', 'learn']","[('Udacity', 'helped'), ('Â', 'Â'), ('new', 'job'), ('Udacity', 'I'), ('helped', 'get'), ('I', 'got'), ('Android', 'Developer'), ('data', 'structures'), ('Distribution', 'OpenVINOâ'), ('IntelÂ', 'Distribution'), ('I', 'learned'), ('helped', 'learn'), ('I', 'needed'), ('skills', 'I'), ('Android', 'developer'), ('Cloud', 'Architect'), ('Product', 'Manager'), ('OpenVINOâ', 'Toolkit'), ('Android', 'development')]",N/A
